frame_no,queue_density,dynamic_density
2501,0.0210756,0.0667327
2506,0.0381657,0.0694241
2511,0.0529612,0.109252
2516,0.055754,0.143373
2521,0.0629037,0.130687
2526,0.0705982,0.14594
2531,0.076364,0.172263
2536,0.0836947,0.187446
2541,0.0865464,0.201995
2546,0.0828343,0.259032
2551,0.0707013,0.171118
2556,0.0448959,0.0900404
2561,0.0145614,0.0250756
2566,0.00344114,0.0141391
2571,0.000708959,0.0061166
2576,0.000683459,0.0891757
2581,0.000780536,0.143762
2586,0.000610197,0.074116
2591,0.000596509,0.0810496
2596,0.000556226,0.0789825
2601,0.000815042,0.0758125
2606,0.000892915,0.160258
2611,0.000859874,0.101677
2616,0.000751082,0.064123
2621,0.0119261,0.0143525
2626,0.0266447,0.0438998
2631,0.032724,0.0685994
2636,0.0683591,0.121118
2641,0.108955,0.182126
2646,0.138831,0.272378
2651,0.160431,0.28717
2656,0.179612,0.34583
2661,0.178578,0.334466
2666,0.171974,0.381998
2671,0.178363,0.333609
2676,0.172204,0.296179
2681,0.144416,0.273937
2686,0.136454,0.225661
2691,0.115168,0.171964
2696,0.0908497,0.114218
2701,0.0665796,0.116931
2706,0.0519786,0.0973047
2711,0.0547203,0.0888137
2716,0.0521745,0.0886509
2721,0.054482,0.084052
2726,0.0725587,0.0976964
2731,0.0848611,0.103558
2736,0.0920632,0.110886
2741,0.0971283,0.0963694
2746,0.103735,0.104386
2751,0.107806,0.103085
2756,0.11077,0.132552
2761,0.113958,0.143537
2766,0.116029,0.160439
2771,0.118766,0.159857
2776,0.122715,0.152009
2781,0.127005,0.183495
2786,0.130331,0.203578
2791,0.129713,0.17811
2796,0.130143,0.164184
2801,0.131308,0.141194
2806,0.131006,0.077334
2811,0.132338,0.0526543
2816,0.132847,0.0378874
2821,0.132993,0.0362799
2826,0.133082,0.0324116
2831,0.135207,0.047206
2836,0.135095,0.0323108
2841,0.134337,0.0328483
2846,0.140454,0.0430747
2851,0.14364,0.0499825
2856,0.134555,0.0454441
2861,0.134768,0.0434217
2866,0.137625,0.0492729
2871,0.137147,0.0238665
2876,0.14,0.0423436
2881,0.143598,0.0738932
2886,0.146207,0.0615506
2891,0.143025,0.0622207
2896,0.143958,0.0539117
2901,0.143026,0.0555732
2906,0.144977,0.0672933
2911,0.145295,0.0528151
2916,0.144456,0.0647875
2921,0.145115,0.0540163
2926,0.148183,0.0559032
2931,0.150472,0.0788418
2936,0.155618,0.0740423
2941,0.169706,0.0555502
2946,0.188214,0.0558809
2951,0.20708,0.07356
2956,0.234725,0.0879059
2961,0.256166,0.103203
2966,0.285429,0.123783
2971,0.312695,0.153858
2976,0.330258,0.161867
2981,0.370855,0.183597
2986,0.388734,0.206976
2991,0.415898,0.225585
2996,0.473665,0.261779
3001,0.520587,0.272627
3006,0.573877,0.312889
3011,0.609953,0.313789
3016,0.670087,0.300864
3021,0.699403,0.247114
3026,0.746738,0.152743
3031,0.813761,0.188939
3036,0.787969,0.190533
3041,0.727135,0.157471
3046,0.712499,0.15626
3051,0.705654,0.144581
3056,0.732165,0.191796
3061,0.734845,0.170029
3066,0.737391,0.203834
3071,0.738986,0.222049
3076,0.756208,0.148208
3081,0.784255,0.094398
3086,0.777913,0.138406
3091,0.769237,0.120119
3096,0.763138,0.14591
3101,0.765252,0.142464
3106,0.767983,0.135546
3111,0.761061,0.100594
3116,0.759183,0.111431
3121,0.758982,0.129523
3126,0.761053,0.127269
3131,0.757908,0.0846081
3136,0.760717,0.0775409
3141,0.754822,0.056244
3146,0.751137,0.0877839
3151,0.750327,0.0734328
3156,0.759383,0.15082
3161,0.760291,0.0962209
3166,0.758783,0.0996132
3171,0.759721,0.0893801
3176,0.75991,0.0966987
3181,0.756785,0.162074
3186,0.751298,0.103241
3191,0.747579,0.130271
3196,0.746375,0.107796
3201,0.741647,0.0937511
3206,0.725857,0.150135
3211,0.722098,0.0559064
3216,0.717887,0.0586104
3221,0.717548,0.0219095
3226,0.714692,0.039623
3231,0.722763,0.0848812
3236,0.719612,0.0390625
3241,0.719829,0.0434294
3246,0.713644,0.0270346
3251,0.709081,0.0285309
3256,0.711156,0.0275234
3261,0.713188,0.0201385
3266,0.70923,0.020308
3271,0.713114,0.0290014
3276,0.721753,0.026613
3281,0.755816,0.0528103
3286,0.754366,0.0127265
3291,0.753268,0.0241123
3296,0.751253,0.0260669
3301,0.750671,0.0379545
3306,0.756471,0.0672709
3311,0.754004,0.0406246
3316,0.759131,0.0413463
3321,0.757463,0.0543155
3326,0.755989,0.0489887
3331,0.751337,0.107197
3336,0.748655,0.0652725
3341,0.74542,0.0572745
3346,0.743395,0.0540182
3351,0.743584,0.0579886
3356,0.737281,0.0692196
3361,0.734135,0.0542895
3366,0.733661,0.043141
3371,0.736435,0.0288081
3376,0.73846,0.0283679
3381,0.738848,0.091858
3386,0.736328,0.0200855
3391,0.739471,0.0393689
3396,0.742653,0.0208372
3401,0.740835,0.0252832
3406,0.728729,0.056952
3411,0.727138,0.0342948
3416,0.727926,0.0290685
3421,0.731302,0.054559
3426,0.735158,0.0318833
3431,0.795371,0.185848
3436,0.79678,0.0392729
3441,0.803896,0.0260312
3446,0.809969,0.0314626
3451,0.810471,0.0438038
3456,0.812435,0.151405
3461,0.811565,0.0307967
3466,0.811701,0.0239335
3471,0.812243,0.0234271
3476,0.812446,0.0257818
3481,0.809105,0.118847
3486,0.811734,0.0336944
3491,0.810558,0.0508922
3496,0.816322,0.0276749
3501,0.817522,0.0411808
3506,0.815006,0.0937591
3511,0.814328,0.0422419
3516,0.814323,0.0619205
3521,0.816147,0.0991192
3526,0.817249,0.0466946
3531,0.813813,0.230538
3536,0.814209,0.110325
3541,0.814691,0.017537
3546,0.815374,0.0289078
3551,0.815027,0.0178499
3556,0.815911,0.0604014
3561,0.815872,0.019637
3566,0.806679,0.0721905
3571,0.806928,0.0617595
3576,0.809426,0.0411583
3581,0.812774,0.0263114
3586,0.812984,0.0233271
3591,0.807048,0.0528629
3596,0.808522,0.0387876
3601,0.808906,0.0236232
3606,0.81053,0.0133638
3611,0.810637,0.0124535
3616,0.802801,0.0386493
3621,0.801287,0.0371227
3626,0.8031,0.0437293
3631,0.812774,0.0482439
3636,0.81339,0.0449745
3641,0.803966,0.0472012
3646,0.801863,0.0419549
3651,0.803821,0.040119
3656,0.805082,0.0304003
3661,0.806808,0.0260406
3666,0.804849,0.0556204
3671,0.805685,0.0362399
3676,0.807312,0.0343085
3681,0.809518,0.0364691
3686,0.809715,0.0273492
3691,0.809411,0.062031
3696,0.809038,0.0810264
3701,0.809128,0.0857028
3706,0.809334,0.0786823
3711,0.80986,0.0644811
3716,0.808004,0.115419
3721,0.806493,0.0705607
3726,0.806178,0.081654
3731,0.811511,0.0746386
3736,0.812167,0.0799133
3741,0.804409,0.131136
3746,0.806192,0.114851
3751,0.808238,0.0716368
3756,0.809736,0.0089449
3761,0.80629,0.0106463
3766,0.792775,0.0753165
3771,0.793674,0.0296678
3776,0.795448,0.0440571
3781,0.797891,0.0418678
3786,0.800229,0.0355269
3791,0.799676,0.0829902
3796,0.796412,0.0343833
3801,0.794223,0.0711684
3806,0.811174,0.0786405
3811,0.81848,0.0862319
3816,0.830456,0.0893396
3821,0.83092,0.0188188
3826,0.83148,0.0181992
3831,0.831864,0.0173584
3836,0.831728,0.0254334
3841,0.829057,0.0394068
3846,0.829215,0.0282117
3851,0.828786,0.0253905
3856,0.828589,0.0287742
3861,0.828459,0.051055
3866,0.827648,0.0767707
3871,0.828208,0.0473786
3876,0.828979,0.0357479
3881,0.828497,0.0420322
3886,0.827691,0.0345536
3891,0.827593,0.0667214
3896,0.82859,0.0547328
3901,0.827887,0.057636
3906,0.827459,0.0391725
3911,0.825135,0.0301327
3916,0.827333,0.0526459
3921,0.827707,0.0252897
3926,0.827559,0.0311768
3931,0.82848,0.0277692
3936,0.828896,0.0218282
3941,0.827973,0.0785962
3946,0.828099,0.0171181
3951,0.828597,0.0482072
3956,0.82943,0.0414508
3961,0.82943,0.0304204
3966,0.829758,0.0489604
3971,0.829383,0.0523846
3976,0.828177,0.0173392
3981,0.826785,0.0182023
3986,0.828221,0.0228585
3991,0.829509,0.0531114
3996,0.829714,0.127914
4001,0.829679,0.0398945
4006,0.829201,0.0876196
4011,0.829156,0.0152579
4016,0.828812,0.0763406
4021,0.829072,0.0242701
4026,0.829044,0.0162981
4031,0.829209,0.0318768
4036,0.829511,0.0219962
4041,0.823943,0.0549198
4046,0.82692,0.0520276
4051,0.825851,0.0973195
4056,0.827477,0.0484332
4061,0.828316,0.0225327
4066,0.828766,0.0574199
4071,0.828777,0.0363448
4076,0.829047,0.0343692
4081,0.829262,0.0259846
4086,0.829246,0.0575501
4091,0.831013,0.0719316
4096,0.830594,0.0920963
4101,0.83014,0.0915854
4106,0.831083,0.088692
4111,0.831048,0.0211929
4116,0.830604,0.0387953
4121,0.829672,0.0732675
4126,0.828912,0.179242
4131,0.82823,0.174257
4136,0.826263,0.214111
4141,0.82555,0.231805
4146,0.822931,0.247848
4151,0.821685,0.253712
4156,0.820639,0.269313
4161,0.820873,0.269861
4166,0.821625,0.275025
4171,0.822847,0.15576
4176,0.821802,0.177465
4181,0.825552,0.216898
4186,0.833974,0.211063
4191,0.835196,0.20445
4196,0.835918,0.17399
4201,0.833038,0.247283
4206,0.835229,0.56981
4211,0.838149,0.546121
4216,0.838775,0.604239
4221,0.849308,0.625635
4226,0.854989,0.613325
4231,0.867157,0.606999
4236,0.871078,0.608491
4241,0.861532,0.587063
4246,0.848326,0.50834
4251,0.827518,0.593451
4256,0.804554,0.627064
4261,0.80609,0.592062
4266,0.81831,0.516046
4271,0.833738,0.61275
4276,0.84484,0.589287
4281,0.849094,0.572682
4286,0.844606,0.657715
4291,0.790026,0.691394
4296,0.783212,0.646685
4301,0.777137,0.67368
4306,0.773677,0.766797
4311,0.776255,0.74943
4316,0.738703,0.735938
4321,0.696528,0.704332
4326,0.664757,0.727206
4331,0.655596,0.63672
4336,0.653045,0.429993
