time_sec,queue_density,dynamic_density
67.0667,0.839568,0.0442172
67.4,0.839663,0.0388619
67.7333,0.840479,0.036702
68.0667,0.840163,0.0346936
68.4,0.840774,0.029929
68.7333,0.840713,0.0639352
69.0667,0.840677,0.0533248
69.4,0.840488,0.0400091
69.7333,0.841124,0.0383959
70.0667,0.841447,0.0367687
70.4,0.832763,0.0659109
70.7333,0.831724,0.0326503
71.0667,0.832887,0.0330047
71.4,0.834948,0.0301983
71.7333,0.83676,0.0338983
72.0667,0.836374,0.0936211
72.4,0.837041,0.034546
72.7333,0.83674,0.0265559
73.0667,0.838014,0.0345039
73.4,0.837916,0.0330077
73.7333,0.836992,0.101658
74.0667,0.836176,0.0552378
74.4,0.835175,0.0396442
74.7333,0.832648,0.0390285
75.0667,0.8333,0.0431983
75.4,0.83542,0.053947
75.7333,0.835405,0.055266
76.0667,0.833399,0.0357382
76.4,0.833418,0.0379527
76.7333,0.828942,0.0323724
77.0667,0.806654,0.0748573
77.4,0.813889,0.0455612
77.7333,0.828089,0.0483273
78.0667,0.831908,0.0462564
78.4,0.832751,0.0412569
78.7333,0.835798,0.0681966
79.0667,0.837305,0.0373695
79.4,0.838741,0.0295163
79.7333,0.838168,0.0243542
80.0667,0.839763,0.0316417
80.4,0.841047,0.0765613
80.7333,0.839682,0.0217148
81.0667,0.836513,0.0807681
81.4,0.835821,0.0645162
81.7333,0.837571,0.0345713
82.0667,0.840268,0.053704
82.4,0.83814,0.0401395
82.7333,0.839267,0.0353876
83.0667,0.837642,0.0386243
83.4,0.835968,0.0348495
83.7333,0.82384,0.065424
84.0667,0.826201,0.0300996
84.4,0.825103,0.0276539
84.7333,0.827431,0.0280959
85.0667,0.828955,0.0382694
85.4,0.830095,0.0591483
85.7333,0.827635,0.0370155
86.0667,0.824993,0.047484
86.4,0.827238,0.0377815
86.7333,0.826825,0.0376306
87.0667,0.822877,0.0304406
87.4,0.8218,0.0339833
87.7333,0.819558,0.0383588
88.0667,0.82004,0.0307402
88.4,0.822014,0.0206742
88.7333,0.810274,0.143941
89.0667,0.808083,0.0708041
89.4,0.809063,0.043291
89.7333,0.812429,0.0408144
90.0667,0.81383,0.0439786
90.4,0.818071,0.064104
90.7333,0.817781,0.0495415
91.0667,0.819605,0.0505448
91.4,0.815799,0.051094
91.7333,0.814132,0.0484113
92.0667,0.811639,0.0671608
92.4,0.811945,0.0494475
92.7333,0.818711,0.0380126
93.0667,0.82069,0.0357595
93.4,0.824696,0.0342128
93.7333,0.832784,0.0486342
94.0667,0.83229,0.0618834
94.4,0.832237,0.0132804
94.7333,0.832616,0.0834148
95.0667,0.833215,0.193751
95.4,0.835876,0.210635
95.7333,0.835599,0.275598
96.0667,0.834168,0.315147
96.4,0.835297,0.364056
96.7333,0.832928,0.37393
97.0667,0.839487,0.393263
97.4,0.842783,0.387002
97.7333,0.844059,0.466351
98.0667,0.845673,0.332137
98.4,0.844062,0.234995
98.7333,0.849776,0.385906
99.0667,0.8498,0.27866
99.4,0.849627,0.417259
99.7333,0.853469,0.559306
100.067,0.853675,0.453164
100.4,0.860901,0.649133
100.733,0.855802,0.551553
101.067,0.850395,0.610633
101.4,0.838771,0.625557
101.733,0.84007,0.675421
102.067,0.834796,0.659813
102.4,0.829608,0.656701
102.733,0.828917,0.715847
103.067,0.80578,0.471655
103.4,0.790091,0.678571
103.733,0.78554,0.671532
104.067,0.795981,0.63293
104.4,0.80064,0.652153
104.733,0.80607,0.639026
105.067,0.81269,0.682199
105.4,0.815515,0.551937
105.733,0.800233,0.670573
106.067,0.801684,0.66638
106.4,0.806579,0.6582
106.733,0.802848,0.652693
107.067,0.798575,0.740418
107.4,0.796625,0.707923
107.733,0.785023,0.622868
108.067,0.781837,0.699967
108.4,0.796949,0.603579
108.733,0.806596,0.632814
109.067,0.812585,0.56107
109.4,0.809377,0.617994
109.733,0.803056,0.608644
110.067,0.806146,0.653052
110.4,0.805102,0.639558
110.733,0.812199,0.598993
111.067,0.828699,0.634516
111.4,0.829188,0.642999
111.733,0.814407,0.626364
112.067,0.771841,0.586688
112.4,0.764093,0.528253
112.733,0.773071,0.378515
113.067,0.779225,0.610431
113.4,0.774484,0.561871
113.733,0.751628,0.595144
114.067,0.740087,0.489656
114.4,0.735026,0.557347
114.733,0.719595,0.521657
115.067,0.680565,0.600059
115.4,0.578105,0.597326
115.733,0.533527,0.576221
116.067,0.505772,0.604698
116.4,0.463773,0.597461
