time_sec	queue_density
82.0667	0.838101
82.2	0.837364
82.3333	0.837008
82.4667	0.84057
82.6	0.839626
82.7333	0.838861
82.8667	0.838685
83	0.839571
83.1333	0.839633
83.2667	0.838595
83.4	0.838301
83.5333	0.838203
83.6667	0.837396
83.8	0.834402
83.9333	0.834171
84.0667	0.824907
84.2	0.826216
84.3333	0.827074
84.4667	0.827003
84.6	0.826576
84.7333	0.82611
84.8667	0.827622
85	0.828198
85.1333	0.829119
85.2667	0.83082
85.4	0.830076
85.5333	0.832043
85.6667	0.8318
85.8	0.830452
85.9333	0.830487
86.0667	0.828692
86.2	0.827172
86.3333	0.826486
86.4667	0.826075
86.6	0.826572
86.7333	0.828249
86.8667	0.828234
87	0.827089
87.1333	0.827215
87.2667	0.828304
87.4	0.823923
87.5333	0.823034
87.6667	0.822203
87.8	0.821991
87.9333	0.823684
88.0667	0.82049
88.2	0.821
88.3333	0.820894
88.4667	0.820455
88.6	0.820008
88.7333	0.823085
88.8667	0.820142
89	0.820118
89.1333	0.809345
89.2667	0.808695
89.4	0.808969
89.5333	0.809537
89.6667	0.810309
89.8	0.811744
89.9333	0.813425
90.0667	0.813433
90.2	0.81502
90.3333	0.814318
90.4667	0.816172
90.6	0.815909
90.7333	0.819256
90.8667	0.819922
91	0.81879
91.1333	0.819358
91.2667	0.819424
91.4	0.820788
91.5333	0.823116
91.6667	0.81935
91.8	0.815196
91.9333	0.813331
92.0667	0.814977
92.2	0.81732
92.3333	0.818041
92.4667	0.812418
92.6	0.812261
92.7333	0.81288
92.8667	0.817528
93	0.818315
93.1333	0.820557
93.2667	0.821227
93.4	0.821748
93.5333	0.823041
93.6667	0.824107
93.8	0.826968
93.9333	0.827434
94.0667	0.833881
94.2	0.833849
94.3333	0.833324
94.4667	0.833885
94.6	0.83332
94.7333	0.833293
94.8667	0.834386
95	0.834128
95.1333	0.834414
95.2667	0.834653
95.4	0.83432
95.5333	0.833791
95.6667	0.83374
95.8	0.837188
95.9333	0.836283
96.0667	0.836741
96.2	0.835111
96.3333	0.834676
96.4667	0.836557
96.6	0.83593
96.7333	0.836455
96.8667	0.834406
97	0.834472
97.1333	0.832854
97.2667	0.833955
97.4	0.84059
97.5333	0.841173
97.6667	0.842651
97.8	0.844869
97.9333	0.843239
98.0667	0.845092
98.2	0.845335
98.3333	0.845899
98.4667	0.84637
98.6	0.847263
98.7333	0.845218
98.8667	0.844493
99	0.844128
99.1333	0.851002
99.2667	0.849266
99.4	0.850864
99.5333	0.849755
99.6667	0.850077
99.8	0.850257
99.9333	0.850128
100.067	0.854454
100.2	0.856049
100.333	0.855061
100.467	0.85523
100.6	0.856053
100.733	0.861884
100.867	0.860563
101	0.858353
101.133	0.856707
101.267	0.854995
101.4	0.851362
101.533	0.842039
101.667	0.838328
101.8	0.83894
101.933	0.840809
102.067	0.840648
102.2	0.840209
102.333	0.843062
102.467	0.832975
102.6	0.829907
102.733	0.830311
102.867	0.826909
103	0.829974
103.133	0.830479
103.267	0.829264
103.4	0.806485
103.533	0.79804
103.667	0.791174
103.8	0.792009
103.933	0.789587
104.067	0.785986
104.2	0.788137
104.333	0.792095
104.467	0.798875
104.6	0.800728
104.733	0.801159
104.867	0.804278
105	0.808464
105.133	0.807378
105.267	0.810043
105.4	0.813103
105.533	0.813256
105.667	0.81386
105.8	0.813264
105.933	0.806579
106.067	0.800818
106.2	0.799462
106.333	0.800748
106.467	0.80563
106.6	0.806661
106.733	0.807276
106.867	0.806516
107	0.803236
107.133	0.806065
107.267	0.804008
107.4	0.799447
107.533	0.802542
107.667	0.796014
107.8	0.796633
107.933	0.791574
108.067	0.786025
108.2	0.786358
108.333	0.784422
108.467	0.784128
108.6	0.789317
108.733	0.797464
108.867	0.809146
109	0.816858
109.133	0.81085
109.267	0.814424
109.4	0.813617
109.533	0.811254
109.667	0.811442
109.8	0.808773
109.933	0.803663
110.067	0.803992
110.2	0.809165
110.333	0.80895
110.467	0.805137
110.6	0.80547
110.733	0.805866
110.867	0.8096
111	0.812692
111.133	0.814103
111.267	0.821521
111.4	0.829229
111.533	0.831326
111.667	0.827097
111.8	0.82361
111.933	0.82649
112.067	0.815369
112.2	0.804181
112.333	0.797703
112.467	0.772697
112.6	0.766882
112.733	0.765021
112.867	0.77075
113	0.770538
113.133	0.774151
113.267	0.778387
113.4	0.780116
113.533	0.777545
113.667	0.774688
113.8	0.772486
113.933	0.768783
114.067	0.752418
114.2	0.748997
114.333	0.746363
114.467	0.742119
114.6	0.737852
114.733	0.735849
114.867	0.727522
115	0.722647
115.133	0.719787
115.267	0.713959
115.4	0.681355
115.533	0.636306
115.667	0.602197
115.8	0.576361
115.933	0.558107
116.067	0.534132
116.2	0.529445
116.333	0.510569
116.467	0.504424
116.6	0.472573
116.733	0.464567
116.867	0.452015
117	0.445953
117.133	0.441144
117.267	0.436438
117.4	0.43134
117.533	0.431547
117.667	0.425712
117.8	0.43384
117.933	0.434087
118.067	0.431132
118.2	0.440137
118.333	0.437335
118.467	0.44446
118.6	0.439691
118.733	0.435329
118.867	0.429392
119	0.420943
119.133	0.417028
119.267	0.401075
119.4	0.394794
119.533	0.390162
119.667	0.379224
119.8	0.373828
119.933	0.372743
120.067	0.365709
120.2	0.364106
120.333	0.363792
120.467	0.364388
120.6	0.361402
120.733	0.357887
120.867	0.357667
121	0.356045
121.133	0.351147
121.267	0.349003
121.4	0.348063
121.533	0.348478
121.667	0.342698
121.8	0.337913
121.933	0.337231
122.067	0.324045
122.2	0.311501
122.333	0.297436
122.467	0.285382
122.6	0.278015
122.733	0.274857
122.867	0.265119
123	0.2554
123.133	0.247233
123.267	0.237452
123.4	0.2282
123.533	0.214034
123.667	0.208849
123.8	0.203198
123.933	0.199969
124.067	0.189495
124.2	0.184142
124.333	0.17748
124.467	0.165645
124.6	0.165477
124.733	0.170912
124.867	0.178996
125	0.18275
125.133	0.193715
125.267	0.211346
125.4	0.223897
125.533	0.236955
125.667	0.25413
125.8	0.263641
125.933	0.273748
126.067	0.287808
126.2	0.298169
126.333	0.309961
126.467	0.314044
126.6	0.319973
126.733	0.329112
126.867	0.3538
127	0.363973
127.133	0.382034
127.267	0.3972
127.4	0.398414
127.533	0.404786
127.667	0.395534
127.8	0.386309
127.933	0.379746
128.067	0.373726
128.2	0.371136
128.333	0.353792
128.467	0.351597
128.6	0.338916
128.733	0.335444
128.867	0.313589
129	0.302268
129.133	0.290387
129.267	0.284955
129.4	0.284105
129.533	0.28722
129.667	0.276001
129.8	0.2637
129.933	0.249596
130.067	0.226789
130.2	0.213144
130.333	0.197183
130.467	0.176825
130.6	0.162342
130.733	0.139296
130.867	0.123299
131	0.108048
131.133	0.0927879
131.267	0.0750125
131.4	0.0618456
131.533	0.048416
131.667	0.0350022
131.8	0.0247782
131.933	0.017313
132.067	0.0143269
132.2	0.0138998
132.333	0.0133825
132.467	0.0126536
132.6	0.0122304
132.733	0.0123401
132.867	0.0121246
133	0.0119522
133.133	0.0112625
133.267	0.0116308
133.4	0.0201815
133.533	0.0376591
133.667	0.064718
133.8	0.086659
133.933	0.109262
134.067	0.140416
134.2	0.164152
134.333	0.188456
134.467	0.218419
134.6	0.237856
134.733	0.245529
134.867	0.258704
135	0.275002
135.133	0.289352
135.267	0.312904
135.4	0.330013
135.533	0.334512
135.667	0.333359
135.8	0.331749
135.933	0.312931
136.067	0.29666
136.2	0.281385
136.333	0.267062
136.467	0.250016
136.6	0.244126
136.733	0.234302
136.867	0.219575
137	0.205424
137.133	0.19281
137.267	0.172507
137.4	0.149261
137.533	0.130827
137.667	0.107844
137.8	0.0965695
137.933	0.0890534
138.067	0.079284
138.2	0.0715092
138.333	0.0613009
138.467	0.0529814
138.6	0.0411625
138.733	0.0317026
138.867	0.0179909
139	0.0167683
139.133	0.0168976
139.267	0.0167134
139.4	0.0164234
139.533	0.0166468
139.667	0.0175873
139.8	0.0193782
139.933	0.0235556
140.067	0.0330467
140.2	0.0431767
140.333	0.0550701
140.467	0.0712349
140.6	0.0852757
140.733	0.102918
140.867	0.124628
141	0.141455
141.133	0.158486
141.267	0.182355
141.4	0.199895
141.533	0.223231
141.667	0.249616
141.8	0.271251
141.933	0.293933
142.067	0.315537
142.2	0.328155
142.333	0.333822
142.467	0.3368
142.6	0.340719
142.733	0.345065
142.867	0.344732
143	0.342858
143.133	0.342373
143.267	0.337752
143.4	0.331776
143.533	0.304126
143.667	0.296457
143.8	0.29541
143.933	0.299564
144.067	0.301347
144.2	0.304651
144.333	0.304553
144.467	0.301206
144.6	0.294756
144.733	0.289838
144.867	0.2824
145	0.269629
145.133	0.24817
145.267	0.221299
145.4	0.195243
145.533	0.178636
145.667	0.154547
145.8	0.136341
145.933	0.12116
146.067	0.1007
146.2	0.0827011
146.333	0.0682292
146.467	0.0514296
146.6	0.0406256
146.733	0.0315537
146.867	0.0208164
147	0.0188844
147.133	0.0155888
147.267	0.0121167
147.4	0.00830773
147.533	0.00395009
147.667	0.00178303
147.8	0.00232381
147.933	0.00186924
148.067	0.0019241
148.2	0.00264907
148.333	0.00349552
148.467	0.00274704
148.6	0.0037855
148.733	0.00276663
148.867	0.00345241
149	0.00431845
149.133	0.00426751
149.267	0.00464371
149.4	0.00571352
149.533	0.00562731
149.667	0.00578406
149.8	0.0066501
149.933	0.00661092
150.067	0.0073398
150.2	0.00808044
150.333	0.00848799
150.467	0.00883676
150.6	0.00948727
150.733	0.00936187
150.867	0.0106276
151	0.0107021
151.133	0.0169094
151.267	0.0314087
151.4	0.0400182
151.533	0.0471346
151.667	0.0558773
151.8	0.0608385
151.933	0.0630016
152.067	0.0676767
152.2	0.071086
152.333	0.0731394
152.467	0.0761725
152.6	0.0784963
152.733	0.0793388
152.867	0.0804478
153	0.0819918
153.133	0.083191
153.267	0.088395
153.4	0.0932151
153.533	0.0949158
153.667	0.0997868
153.8	0.100402
153.933	0.101977
154.067	0.106037
